name,team,jersey_number
"Ugwoegbu, Chinenye David",,79
"Jackson, Savion",,92
"Governor, Demarcus",,0
"Hadley, Ben",Saskatchewan Roughriders,71
"Sapp III, Benjamin",Saskatchewan Roughriders,37
"DIXON, Johnny",,34
"Walcott, Alfahiym",,29
"NOBLES, Alex",,73
"Johnson, Cam",,71
"MATHEWS, Sam",,45
"Heckard, Eddie",,16
"WASHINGTON, Marcus",,73
"BENJAMIN, Eno",,44
"VAUGHN, Terrell",,79
"WILLIAMS, Jaylin",Edmonton Elks,36
"Hampton, Bryce",,13
"Carr Jr, Josh",,72
"Williams, Miyan",Toronto Argonauts,28
"HUTCHINGS, Jaylon",Calgary Stampeders,96
"Oxendine, Octavious",,79
"JOHNSON, Anthony",Calgary Stampeders,44
"Ellis, Keaton",,34
"PETERSON, Shaun Jr.",Calgary Stampeders,58
"Arias, Daniel",,73
"Ogle-Kellogg, Tykee",,78
"Walker, Chris",,60
"Boone, Peny",,13
"Bush, Jett",,43
"Jones, Latreal",Ottawa Redblacks,80
"HILIARE, Odieu",Edmonton Elks,84
"McCartan, John",,94
"PEAT, Nathaniel",,39
"Hodges, Darius",,97
"JACKSON, Kearis",Edmonton Elks,17
"KENNEDY III, Robert",Montreal Alouettes,31
"Glasco, Clayton",,43
"Harrison, Tre'Shaun",,77
"DAVIS, Shaq",Calgary Stampeders,0
"Barajas, Caleb",,0
"Brown Jr, Reginald",,0
"Murray, David",,57
"CALHOUN, Jalon",Edmonton Elks,85
"Mosley, Tre",,84
"Jackson, Christopher",,74
"DeBerry, Josh",,71
"Knight, Qwuantrezz",,39
"Bowers, Lourenz",,
"Casey, Aaron",Toronto Argonauts,36
"OLLISON, Qadree",,36
"ROBERTS, Jacob",Calgary Stampeders,48
"McDonald, Chris",,10
"Drew Jr, Willie",Toronto Argonauts,39
"Mallory, Dashaun",,0
"Adams, D'Marcus",,73
"SMITH JR., Mike",,42
"FOX, Tomari",Edmonton Elks,95
"FENWICK, Deshaun",,27
"Javier, Robert",,37
"Mason, Micheal",,76
"Carter, Andre",Toronto Argonauts,98
"Butler, Darien",,0
"Kiser, Trey",,53
"Jones Jr., Leon",,10
"UZODINMA II, Amechi",,35
"Matterson, Brandon",,0
"BERNHARDT, Jared",,88
