name,team,jersey_number
"ZUBER, Isaiah",,86
"LEE, Marquel",Calgary Stampeders,50
"THOMPSON, Erroll",,0
"JONES, Kobe",,99
"COLE II, Brian",Hamilton Tiger-Cats,41
"MOURTADA, Ali",,18
"BROOKS JR, Antoine",Saskatchewan Roughriders,33
"MCKOY, Isaiah",,0
"HUBBARD, Jonathan",Saskatchewan Roughriders,0
"COULTER, Isaiah",,0
"WADE, Barrington",Montreal Alouettes,0
"MCINTOSH, RJ",,0
"COLE, Matt",,38
"RIVERS, Chauncey",,0
"NNORUKA, Chigozie",,0
"MCSWAIN, Trevon",,0
"HARDY, Justin",Ottawa Redblacks,2
"THORNTON, Hugh",,61
"LYNCH, Aaron",,0
"BATES, Jalen",,0
"FOSTER, DJ",,29
"TAPPIN, Taylor",,58
"ESOKPUNWU, Marshall",,0
"BUCHANAN, Nick",,0
"KRAMER, Jack",,0
"MEHRY, Mojtaba",,0
"FORDHAM-MILLER, Austin",,0
"BROWN, Shakur",Ottawa Redblacks,9
"BLAIR, Jaquan",,0
"DUCHARME, Samuel",,0
"CALHOUN, Vincent",,0
"VICTOR, Binjimen",Edmonton Elks,87
"HIGBY, Tyler",,64
"BROWNE, Erick",,0
"BOFSHEVER, Jake",,0
"O'BRIEN, Liam",,0
"OVERTON, Diondre",,0
"RUBLE, Brock",,0
"DUGAS, O'Shea",,0
"MCCLAIN-SAPP, Jaylon",,0
"YARBROUGH, John",,55
"DAVIS, Quartney",,14
"JOHNSON, Jon'Vea",,0
"LEADER, Tadhg",,0
"YOUNG, Trevon",,0
"HAWKINS, Javian",,0
"REED, Justus",,0
"SCRUTON, Benjamin",,0
"AUTRY II, Lee",,99
"COLE, Reginald",,0
"EDWARDS-COOPER, Jalon",BC Lions,8
"FISHER, Jaelin",,0
"DAVIS, Adonis",,0
"SMITH, Eric",Calgary Stampeders,68
"MORGAN, Nyles",Edmonton Elks,45
"WRIGHT, Terry",,0
"BERTOLET, Taylor",,18
"SMITH, Jaylen",,0
"HOWARD, Eli",,0
"COMEAU, Carter",,0
"WOODS, Josh",BC Lions,2
"SUNDERLAND, Will",,19
"NEWSOME, Dazz",Saskatchewan Roughriders,0
"HARVEY-CLEMONS, Josh",,46
"STOVE, Eli",,80
"DAVIS, Justin",,0
"WHITE, Jarell",,6
"PICKETT, Adarius",Ottawa Redblacks,6
"ARMSTEAD, Ryquell",,29
"ROBERSON, Darece",,0
"DELUCA, Ben",,46
"COTTON JR., Jeff",,0
"PICKETT, Nick",,0
"MCCRAE, Greg",,29
"CHARLES-BROWN, Shaiheem",,0
"JONES, Anthony",,0
"STEWART JR, Brad",,0
"KAYA, Kevin",,88
"HAMILTON, LaDarius",,0
"MANALO, Myles",,42
"WATSON, Matt",,25
"PACKER, Tyler",BC Lions,62
"CLARKE, Kenan",,21
"DERKS, Matthew",,68
"HAGERTY, Joshua",BC Lions,27
"MAKONZO, Ethan",,44
"COTE, David",Montreal Alouettes,15
"HAKUNAVANHU, Luther",Ottawa Redblacks,86
"MARKGRAF, Keegan",,93
"KOURTIS, Peter",,75
"GREEN, Alfred",,57
"BORSA, Kyle",,22
"BANDY, Logan",,69
"GARAND-GAUTHIER, Felix",Toronto Argonauts,38
"RICHARDS, Jarek",,43
"CIMANKINDA, Alain",,56
"LOWES, Robbie",,31
"HOYTE, Trevor",Hamilton Tiger-Cats,42
"JULIEN, Jake",Edmonton Elks,10
"NIELD, Tommy",Saskatchewan Roughriders,83
"GRAHAM, Elliot",,37
"DAVIS, Patrick",,69
"FOURNIER, Chris",,57
"MOORE, Charlie",,43
"BERGLOF, Connor",,68
"HLADIK, Ben",BC Lions,46
"RENE, Patrice",BC Lions,24
"LABELLE, Bruno",,44
"DIALLO, Mohamed",,26
"JANA, Terrell",,82
"KRAMDI, Redha",Winnipeg Blue Bombers,6
"MCDONALD, Grant",,29
"ADDAE, Alonzo",Ottawa Redblacks,20
"DOXTATER, Sage",Toronto Argonauts,63
"BELL, Bryce",Calgary Stampeders,66
"LESTAGE, Pier-Olivier",Montreal Alouettes,66
"CROSS, Nic",,39
"NICASTRO, Peter",Toronto Argonauts,52
"STEVENS, Deshawn",,96
"NELSON, Cole",,55
"JOSEPH, Daniel",Calgary Stampeders,95
"DOBSON, Liam",Hamilton Tiger-Cats,66
"LOKOMBO, Nelson",Saskatchewan Roughriders,25
"BURT, Jake",,3
"HAMPTON, Mike",,0
"JOHNSON, Mustafa",Montreal Alouettes,94
"HODGE, Darius",,0
"HUTCHERSON, Sadarius",,0
"MOSES, Dylan",,0
"Upshaw, Taylor",,0
"MCKNIGHT, Romeo",,93
"VAN DER RIET, Wihan",,0
"LEONARD, Nico",,0
"LAWS, Gerard",,0
"SCHAFFER, Thomas",,91
"SMITH, James",,16
"BURKS, Jalen",,0
"OYELOLA, Ayo",,36
"YAMASAKI, Takeru",,0
"GUSTAV, Niklas",,48
"SAGNE, Sebastien",,0
"JAMES, William",,0
"ANDERSON, Tony",,0
"FERGUSON, Chris",,61
"IZINYON, David",,0
"LEE, Taku",,29
"NELL, John Henry",,71
"DEBAILLIE, Tibo",BC Lions,40
"AIOLUPOTEA-PEI, Misiona",,0
"SATO, Toshiki",,71
"MACHINO, Tomoya",,69
"VEDVIK, Kaare",,16
"YAMAGISHI, Akio",,0
"AGBASIMERE, Franklin",,0
"MULUMBA, Chris",,92
"WHITFORD, Joel",,32
"GRACE, Cody",Edmonton Elks,24
"ZEMA, Joseph",Montreal Alouettes,36
"EZEALA, Christopher",,31
"MARUO, Les",Ottawa Redblacks,34
"SANKOH, Tigie",,35
"NIELSEN, Steven",,61
"VREDE, Tyron",Ottawa Redblacks,46
"FORD, Jake",,17
"ELLIOTT, Javien",,7
"BAILEY, Hakeem",,24
"MARINER, Siaosi",,82
"GOODSON, O'Bryan",,0
"BOYD, Dino",Ottawa Redblacks,64
"Duggan, Max",Toronto Argonauts,19
"NURSE, Josh",,0
"ELEBY, Kaleb",,5
"JOYNER, Austin",,26
"HATCHER, Keon",BC Lions,4
"VANTREASE, Kyle",,2
"ALLEN, Pat",,0
"McELVAIN, William",Edmonton Elks,12
"PUTUTAU, Alani",,0
"ANGULO, Christian",,0
"POUTASI, Jeremiah",,0
"CAMPER, Blake",,0
"KEARSE-THOMAS, Khaylan",,0
"HILL, Holton",,0
"LIPSCOMB, Kalija",,80
"FEASTER, Tavien",,40
"FOLSTON, Tarean",,0
"BIERRIA, Keishawn",,33
"PAULO, Darrin",Hamilton Tiger-Cats,62
"WASHINGTON, Juwan",,0
"BROWN, Daniel",,0
"BROTHERS, Kentrell",,0
"MENGEL, Matt",,46
"THORNTON, Khyri",,0
"JONES JR., Alvin",,39
"PHILIP, Shaydon",,49
"JOHNSON, Tyler",,0
"COLEMAN III, Douglas",,35
"FLOYD, Reggie",,0
"MITCHELL, Myron",Hamilton Tiger-Cats,14
"DEMERY, D'Antne",Calgary Stampeders,60
"ROGERS, Kendrick",,0
"EVANS, Marwin",,0
"MITCHELL, Dillon",Winnipeg Blue Bombers,13
"ROYSTER, Darius",,0
"AGUAYO, Ethan",,0
"HORNBUCKLE, Tre",,97
"JOSEPH, Vosean",,11
"WRIGHT, Bryan",,0
"BOCKRU, Mathias",,0
"HOUGHRON, Zach",,0
"HOTCHKINS, AJ",,0
"BUTLER, Emmanuel",,17
"RAHMING, TJ",,83
"LYON, Nafees",Saskatchewan Roughriders,29
"DENNY, Khayri",,0
"RECTOR, Christian",,99
"ACKER, Kenneth",,0
"WATSON, Tre",,33
"VASHER, TJ",,0
"WILLIAMS, Devonte",Ottawa Redblacks,1
"WILLIAMS, Darius",,22
"TURNER, Calvin",,13
"FINLEY, Romeo",,0
"JONES-DAVIS, Antonio",,0
"ROEMER, Tyler",,0
"MENCER, Eli",,42
"STEPHENS, Howard",,0
"DIXON, Kenneth",,0
"HATFIELD, Dominique",,0
"MORRIS, Kalil",,0
"ROBINSON, Austrian",,0
"HARLEY, Mike",,89
"CAMPBELL, Graydon",,0
"WILSON, Bejour",,0
"SHEPPARD, Qaadir",,0
"RAY, Shane",Saskatchewan Roughriders,5
"FOLSTON JR., James",,0
"LEWIS, Marcus",,8
"DUNLOP, Josh",,0
"GRIGSBY, Nicholas",,0
"GRIFFIN, Frankie",Ottawa Redblacks,28
"BUNDAGE, Calvin",,49
"WILBORN, Rayshawn",,0
"LEVINE, Dana",,96
"ROUSE, Nydair",,0
"THURMON, Kevin",,95
"JOHNSON, Johnathon",,0
"THOMPSON, Corey",,0
"ONUOHA, Mike",,0
"WILCOTS II, Cedric",,91
"TAGOVAILOA, Taulia",,3
"WICKER, Jo Jo",,0
"SUELL, Jordan",,0
"SCOTT, Artavis",,0
"CAMPBELL, George",,80
"PINCKNEY, Michael",,50
"PATRICK, Aaron",Saskatchewan Roughriders,91
"WILLIAMS, Kobe",Edmonton Elks,0
"GOOD-JONES, Julian",,69
"GREEN IV, Allie",,0
"HALL, Deiondre",,0
"LEAKE, Javon",Edmonton Elks,22
"WOMACK, Matt",,0
"JOHNSON, Jawuan",,0
"JACQUET, Michael",,0
"EDWARDS, Earnest",,88
"SMITH, Prince",,0
"WILLIAMS, Tim",,96
"DENMARK, Stephen",,0
"AJAYI, Solomon",,0
"EVANS, Caleb",Montreal Alouettes,5
"RENFRO, Debione",,0
"CHAMPION, Tommy",,0
"BAILEY, Manasseh",,82
"JOHNSON, Anthony",,84
"ANDERSON III, Bruce",,25
"ALEXANDER, Davis",Montreal Alouettes,10
"COE, Nick",,97
"DILL, Scottie",,0
"SOROH, Andrew",,0
"CARR, Patrick",,0
"LOUIS, Ricardo",,86
"ARTIS-PAYNE, Cameron",,8
"TEUHEMA, Sione",BC Lions,0
"THOMAS, Daquaylyn",,39
"BOOZER, Cole",,0
"COTHRAN, Curtis",,0
"FLETCHER, Walter",,25
"TAYLOR, Jeawon",,16
"TURNER, Tyler",,87
"MARSHALL, Byron",,0
"MCFADDEN, Tarvarus",Toronto Argonauts,2
"ROBINSON, Rashad",,0
"RICHMOND, Drew",,60
"HARELIMANA, Brian",Toronto Argonauts,26
"SCHNITZLER, Tom",,48
"ASIBUO, Michael",,0
"KLASSEN, Colton",,7
"RAPER, Mitch",,39
"JAMIESON, Damian",,30
"GOWANLOCK, Brock",,98
"ASSE, Ketel",,67
"CADWALLADER, Tanner",Winnipeg Blue Bombers,47
"LAWSON, Jesse",,71
"BURNHAM, Keiran",,70
"ALESSANDRINI, Vincent",,82
"SANDJONG, Rossini",,8
"SUMMACH, Nicholas",,62
"DAVIS, Reshaan",,92
"VENTOSE, Jean",,19
"FEMI-COLE, Jonathan",,47
"SEINET-SPAULDING, Andrew",,90
"HENRY, Jersey",,10
"GANGAROSSA, Chris",,69
"BECKER, Andrew",,65
"BAKER, Samuel",,85
"COWAN, Brad",,39
"DHEILLY, Nicholas",,96
"BENCZE, Joseph",,61
"DETHIER, Vincent",,29
"HASTINGS, Cordell",,85
"PELLERIN, Dion",,36
"BROWN, Dante",,40
"GUEVREMONT, Matt",,77
"LIEGGHIO, Marc",Hamilton Tiger-Cats,33
"ABRAHAMS-WEBSTER, Treshaun",,30
"O'LEARY-ORANGE, Brendan",Hamilton Tiger-Cats,4
"KATSANTONIS, Stavros",Hamilton Tiger-Cats,30
"ALLEN, A.J.",Saskatchewan Roughriders,32
"MIDDLEMOST, Tyson",Edmonton Elks,83
"AKETEPE, Oludotun",,38
"GRAY, Kurtis",,45
"SCHAFFER-BAKER, Kian",Saskatchewan Roughriders,89
"SZOTT, Jakub",Hamilton Tiger-Cats,50
"GIFFEN, Dylan",Toronto Argonauts,64
"TERNOWSKI, Tyler",Hamilton Tiger-Cats,88
"ZAMORA, Jonathan",,59
"MARION, Benoit",Saskatchewan Roughriders,93
"TYNE, Malik",,31
"HAMMOND, Court",,91
"O'DONNELL, Carter",Edmonton Elks,64
"JOHN, Rysen",,89
"ACHEAMPONG, Samuel",,95
"BASAMBOMBO, Dan",,44
"HALLETT, Noah",,23
"FELTMATE, Bailey",,36
"LAWSON, Cameron",Winnipeg Blue Bombers,99
"ROURKE, Nathan",BC Lions,12
"DEQUOY, Marc-Antoine",Montreal Alouettes,24
"PAE, Alain",,97
"PINTO, Trivel",,14
"CASSAR, Jack",Toronto Argonauts,45
"HOECHT, Michael",,93
"CHURCHILL, Theren",,67
"BENNETT, Mason",,90
"RILEY, Mattland",,54
"AUCLAIR, Adam",BC Lions,25
"WOODMANSEY, Coulter",Hamilton Tiger-Cats,64
"JACK-KURDYLA, Tomas",Calgary Stampeders,68
"ADEYEMI-BERGLUND, Isaac",Montreal Alouettes,91
"BRISSETT, Dejon",Toronto Argonauts,18
"WILLIAMS, Jordan",,1
"PETRIE, Benjamin",,0
"WILLIAMS, Kam",,0
"NELSON, Patrick",,36
"CATES, Justin",,0
"ARTIS, Jaquan",,0
"HARDIN, KiAnte",,37
"DECOUD, Treston",,37
"POWELL, Joe",,0
"SUTTON, Wesley",Montreal Alouettes,37
"Phillips, Cam",,89
"ULIZIO, Nolan",,0
"LEWIS, Levi",,0
"EALY, Kony",,90
"PERKINS, Kent",,59
"ROGERS, Eli",,0
"JOHNSON, Jeremiah",,0
"ALEXANDER, Terrence",,0
"COX, Demetrious",,0
"HINES, D'Juan",,0
"NICHOLS, Deatrick",Winnipeg Blue Bombers,1
"VICKERS, Derrick",,0
"BRYANT, Brandon",,0
"JACKSON, Basil",,0
"WOODSON-LUSTER, Xavier",,0
"TILLERY, Jojo",,0
"EVANS, Victor",,0
"FLAGEL, Connor",,0
"WILLIAMS, Terrance",,0
"WRIGHT, Kendall",,0
"TYSON, Michael",,0
"TURNER, Xavier",,0
"WHITE, Matthew",,0
"CARPENTER, Shane",,0
"MONROE, Dakari",,0
"NEWSOME, Detrez",,0
"WEBB, Damon",Calgary Stampeders,9
"LASLEY, Jordan",,0
"PIERCE, Artavis",,25
"KELLY, Kameron",,11
"YOUNG, Perry",,49
"JORDAN, Jamire",,0
"JOHNSON, Isaiah",,0
"ALLEN, Jatitus",,0
"MCCLEOD, Julian",,97
"ELLIS, Jordan",,0
"JACKSON, Nih-Jer",,81
"WILLIAMS, Terry",,87
"QUICK, James",,0
"MILLER, Josh",,25
"WILLIAMS, Kieron",,0
"MUHAMMAD, Brad",,36
"STEVENS, Tommy",Saskatchewan Roughriders,17
"RAYFORD, Chris",,0
"MUTCHERSON, TJ",,0
"DURHAM, Landis",,0
"BRAGALONE, Dominick",,35
"SIMPSON, Cortrelle",,0
"ALFORD, DeAundre",,45
"PUPUNGATOA, Sepesitiano",,0
"FUTRELL, Kendall",,0
"HOWARD, Reggie",,0
"MAJETTE, Theo",,0
"COSTIGAN, Thomas",,97
"LUKE, Anthony",,45
"RILEY, Matt",,0
"COKER, Joshua",Calgary Stampeders,54
"FOSTER, Angelo",,0
"BEVERLY, Kalon",,0
"IHEOMA, Obinna",,0
"TESTAVERDE JR, Vinny",,0
"AKINS, Curtis",,0
"SMITH, TJ",,0
"WHARTON, Isaiah",,0
"HESTER, Jamari",,0
"YOUNG, Bryson",,0
"WARD, JoJo",,0
"MAYLE, Vince",,0
"SAVARD, David",,0
"POWELL, Jordan",,0
"NELSON, Kolton",,0
"PETERSON, Darius-James",,0
"KAMARA, Azur",,43
"KALILI, Jocquez",,0
"SATCHELL, Kadeem",,0
"MCGHEE, Tyrique",,27
"HAMILTON, Javien",,0
"HOLDEN, Deonte",,0
"FAVOROSO, Chris",,95
"OLIVER, Charles",,0
"DIVINITY, Michael",,94
"DOTSON, Jomon",,0
"GRANT, Tevaughn",,0
"LOCKSLEY, Kai",,89
"ROBINSON, Prince",,0
"WILLOUGHBY, Marcus",,95
"RUTTER, Broc",,0
"BONNER, Tim",,45
"DAVIS, Deshaun",,0
"WORTON, CJ",,0
"ALEXANDRE, Justin",,0
"FLINTOFT, Stefan",,11
"RUCKER, Craig",,0
"JACKSON, Dontavion",,88
"SHELBY, Kent",,0
"SIGLER, Tyler",,0
"LIVINGS, Chris",,0
"SHEPERD, Brandon",,0
"LEWIS, Kyle",,0
"NEWMAN, Jamie",,14
"MERRIWEATHER, Davontae",,0
"HOLMES, Ben",,13
"CRUM, Dustin",Ottawa Redblacks,18
"ZICO, Isaac",,0
"CLEMENTS, Malik",,33
"DORTON, Malik",,0
"EDWARDS, Zach",,0
"RICHARDS, Ramon",,7
"BONNER, Lanard",,0
"DAKA, John",,0
"WINT, Anthony",,0
"WALKER, Joseph",,0
"HOLLOWAY, Dimitri",,0
"SMITH, Kwadarrius",,0
"TREVILLION, Fred",,0
"CRAWFORD, Nehari",,0
"AFRIYIE, Pat",,0
"BALLARD, Corrion",,0
"BAKER, Dorian",,0
"DUCK, Clifton",,0
"FETTIG, Mitch",,0
"THOMSON, Kevin",,9
"CATALINA, Tyler",,63
"THAGARD, Quindarius",,0
"RICHARDSON, Keyon",,0
"BANDERAS, Josh",,0
"CAMACHO, Jimmy",,39
"CHEEVERS, Hamp",,0
"HARRIS, Demetrius",,0
"DEAN, Quinlen",,0
"SATTERFIELD, Randy",,0
"WILLIAMS, Darrell",,0
"GRAY, Trayone",,0
"MOORE, Corey",,0
"RUDOLPH, Travis",,0
"KELLY JR., Jermaine",,0
"BROWN, Darrell",,0
"HILL, Chei",,0
"SANKEY, Darnell",Montreal Alouettes,1
"GLASS III, Mike",,27
"UNAEGBU, Prince",,0
"BLUMENTHAL, Joel",,0
"DEMOOR, Chase",,96
"WASHINGTON, Malcolm",,0
"SMALLS, Albert",,0
"MATTHEWS, Tray",,0
"MARINO, Garrett",,92
"STEWART, Ardarius",,17
"MORTON, Jalen",,13
"WILLIAMS, James",,0
"THOMPSON, Malcolm",,19
"CALDWELL, Joshua",,0
"MOE, Mason",,0
"BENNETT, Isiah",,0
"VAUGHNS, Aaren",,0
"WORTHINGTON, Evan",,0
"ALLEN, Joshua",,0
"ROSE, Ezekiel",,50
"OLSON, Dante",,0
"HARRIEL, Mister",,0
"HARPER, Isaiah",,0
"LEWIS, Malcolm",,0
"MCCANTS, Tyre",,0
"MILLER, Dorren",,0
"MURRAY, Nyqwan",,0
"LEONARD, Raphael",,9
"APPLEBY, Austin",,0
"NEAL, Tyrone",,0
"JACKSON, DeVontae",,0
"LIGGINS, Jamalcolm",,0
"DURAL, Travin",,0
"KINSEY, Marvin",,0
"DUHART, Jonathan",,0
"THOMAS, De'Anthony",,0
"HOUSTON, Demerio",Winnipeg Blue Bombers,9
"WILLIAMS, Darius",,45
"MCDOWELL, Garrald",,0
"HAROLD, Jordan",,0
"COMIS, Ross",,0
"WRIGHT III, Scooby",,0
"GLENN, Cameron",,0
"STEWART, Silas",,32
"LOVE, Josh",Calgary Stampeders,16
"HENDY, AJ",,35
"YOUNG, Kenny",,0
"SMITH, Rodney",,0
"HAROLD, Eli",,97
"SAPP, Quart'e",,0
"BAHAR, Kenji",,0
"BURRELL, Jalin",,0
"HENDRIX, Dewayne",BC Lions,14
"PONDER, Jermaine",,0
"BRISSON-FAST, Nathaniel",,0
"ALLISON, Jalen",,0
"WILLIAMS, Lakiem",,0
"ROSS, Marvelle",,0
"SMITH, Terrance",,0
"ALSTON, Johnathan",,0
"GREGORY, Montre",,0
"WHITE, Tim",Hamilton Tiger-Cats,12
"HANSBROUGH, Russell",,0
"TAGO, Logan",,45
"RANDLE JR., Rodney",,27
"TYRRELL, James",,83
"ANDREWS, Darren",,0
"MIDDLETON, Chase",,0
"LEWIS, Kahlil",,0
"PETERS, Jamal",Hamilton Tiger-Cats,2
"THOMAS, Mych",,0
"SANTOSO, Ryan",,3
"HANSEN, Troy",,0
"COLBURN, Matt",,0
"THOMAS, Ahmad",,43
"THOMAS, Cory",,0
"MORGAN, Jordan",,64
"COOPER, Zerrick",,0
"NICKELSON, Tristan",,0
"CARTA-SAMUEL, KJ",,0
"HOBBS, Justin",,0
"SCALES, Tegray",,0
"JOHNSON, Trey",,0
"SMITH, Shannon",,0
"CARNEY, Malik",Saskatchewan Roughriders,11
"WEBB, Ralph",,0
"DWIGHT, Johnny",,0
"SHEFFIELD, Sterling",,0
"WALKER, Ricky",,9
"BOWERS, Stephen",,0
"OWENS, Jarrell",,99
"BETHUNE, Yurik",,49
"BRANCH, Marcelis",,26
"OUELLETTE, A.J.",Saskatchewan Roughriders,45
"BACHMEIER, Hank",,0
"LYNCH, Paxton",,4
"PHILLIPS, Justin",,48
"FINEANGANOFO, Brian",,0
"HASSELL, JT",,38
"LAMPKIN, Ashton",,0
"BADET, Jeff",,0
"JEANPIERE, Damion",,82
"KEELY, Stacy",,0
"GUERRA, Fabian",,89
"HOLLINS, Alexander",Montreal Alouettes,15
"WILKINS, Mazzi",,0
"CLARK, Jeremy",,37
"COPELAND, Marquise",Hamilton Tiger-Cats,51
"BANE JR, Shawn",Saskatchewan Roughriders,15
"MCBEATH, Nick",,2
"SHEEHY-GUISEPPI, Damon",,0
"RABB, Layton",,0
"HAWKINS, Jerald",,65
"DANDRIDGE, Brandin",,29
"SAINT-AMOUR, Anree",,0
"SMITH, Jerminic",,89
"MORGAN, James",Montreal Alouettes,16
"HOGAN, Krishawn",,0
"HYEAMANG, Lord",,99
"MIZZELL, Taquan",,25
"THOMAS, Matthew",,19
"HENRY, Malik",Calgary Stampeders,11
"BAITY JR., Derrick",,0
"WEAH, Jester",,17
"RILEY, Sean",,14
"DAVIS, Davante",,36
"LIPPETT, Tony",,0
"WATERS, Herb",,26
"RANDALL, Delvon",,0
"WRIGHT, Micah",,0
"THOMAS, Roc",,32
"JAMES, Cory",,0
"CAMPBELL, Elijah",,0
"GREENE, Rashad",,0
"FRANKLIN, Jarvion",,0
"ARAUJO-LOPES, Rafael",,14
"MIDDLETON, Deshaywn",,0
"TAYLOR, Davion",Ottawa Redblacks,43
"BANKS, Stefen",,95
"BENNETT, Jake",,0
"WILSON, Shaun",,0
"ALLISON, Jeff",,0
"TANYI, Mbi",,0
"JONES, David",,0
"GRANT, Doran",,0
"DAVIS II, Jamal",,99
"Bingham, Ronheen",,96
"JONES, Markus",,0
"BUSHELL-BEATTY, Juwann",,52
"COATES, Sammie",,0
"JOHNSON, Devon",,0
"THOMPSON, Trenton",,0
"LAGUDA, Afolabi",,22
"YARBARY, Willie",,0
"ABSHEER, Kai",,0
"SHEEHY, John",,0
"DUNBAR JR, Steven",Edmonton Elks,6
"BRONSON, Kevin",,0
"GREENBERG, Zach",,0
"KRAEMER, Grant",,0
"OKEKE, Chidi",,0
"LATIMORE, Monteze",,0
"INGLETON, Blake",,0
"FARMER, Tanner",,0
"GLAVE, Donovan",,0
"VERBOYS, Andrew",,71
"IVEY, Martez",Edmonton Elks,62
"RODRIGUEZ, Michael",,0
"CLARKE, Jeremiah",,0
"KIRVEN, Korren",,0
"HELMS, Israel",,0
"BARTLETT, Bryce",,37
"RHANEY, Demetrius",,62
"LESLIE, Jordan",,0
"ROCQUEMORE, Jontrell",,36
"STEWART, Justin",,73
"STRONG, Justin",,35
"TYLER, Copache",,96
"ALLEN, Dejon",BC Lions,50
"LEVESQUE, Dominic",,0
"LINNAINMAA, Kimi",,85
"TUCKER, D'Londo",,28
"GIBSON, Kyle",,0
"RAWLINGS, Cardell",,0
"CASARRUBIAS, David",,72
"HERNANDEZ, Christian",,73
"FARRIS, DeAndre",,37
"WILSON, Eddy",,91
"NORIEGA MONTIEL, Jose Humberto",,0
"LOPEZ TINOCO, Luis Humberto",,0
"COJOLUM DELGADO, Omar Alejandro",,0
"GNAHOUA, Valentin",,77
"MONTGOMERY, De'Andre",,41
"SUTTON, Frank",,0
"HUTCHINS, Gregory",,0
"ROUYER, Maxime",BC Lions,32
"SUMPTER, Justin",,0
"JAMES, Trevaughan",,69
"ZIMMERMANN, Max",,86
"OLVERA, Sebastian",,0
"GARCIA, Javier",,0
"BRASSEA, Rene",,63
"KELLY, Graham",,0
"DAVIS, Malik",,25
"WHITFIELD, McKinley",,0
"SILVA, Oscar Hugo",,0
"SALGADO, Andres",,85
"VILLALOBOS, Guillermo",,85
"SOTO, Max",,0
"MALTOS DIAZ, Jose",Montreal Alouettes,19
"BOUAH, Jordan",,0
"ROJAS KUHLMANN, Diego",,62
"MARQUEZ TAMAYO, Juan Manuel",,35
"YENNY ROMERO, Enrique Gerardo",,44
"HERNANDEZ REYES, Manuel Eduardo",,38
"SCHIAFFINO PEREZ, Sergio",,26
"CARRETE LANDEROS, Daniel",,0
"ORTIZ, Gabriel",,14
"ROMERO, Genaro Alfonsin",,0
"HANSEN, Thiadric",Toronto Argonauts,90
"VIAMONTES, Diego",,89
"DANIELS, Lucky",,0
"RICHARTE, Fernando",,72
"PLU, Benjamin",,0
"ELLSWORTH, Austin",,0
"ALVAREZ, Gerardo",,73
"THOMAS, Justin",,0
"ROBO, Asnnel",,37
"UBOSI, Xavier",,0
"RICHARDSON, Steven",BC Lions,8
"VOGELER, John",,0
"WHITE, Papi",,4
"OCHS, Mason",,0
"KELLY, Anthoula",,0
"TARVER, Ron'Quavion",,0
"HALL, Payton",,0
"WRIGHT, Charles",,96
"WILLIAMS, Troy",,10
"RICHARDSON, Kevin",,0
"HEATH, Dominique",,20
"WEST, Darius",,0
"DURANTE, Jovon",,0
"KENNEY, David",,0
"KOLOAMATANGI, Meffy",,90
"BRADY, Latarius",,93
"HILLS, Wes",,34
"VORNKAHL, Travis",,50
"SMITH, Jake",,0
"DORKA, Nick",,0
"HARRIS, Christian",,0
"HOLLAND, Jamirr",,38
"DION, Philippe",,0
"MERCHANT, Chris",,15
"SECORD, Tanner",,0
"OMARA, Daniel",,0
"BUSBY, Shamar",,0
"HUNCHAK, Colton",,89
"LEBREUX, Clement",,91
"JUDGE, Christopher",,44
"EXUME, Kerfalla-Emmanuel",Saskatchewan Roughriders,20
"LYLES, Jamel",,22
"BLAKE, Eric",,19
"WHYTE, Gordon",Hamilton Tiger-Cats,58
"CRANSTON, Cody",,39
"CAMPBELL, Malcolm",,48
"REINHART, Job",,54
"ABBOTT, Samson",,50
"STARCZALA, Eric",Ottawa Redblacks,68
"HALLETT, Nick",Winnipeg Blue Bombers,21
"LYONS, Brad",,50
"KARL, Hunter",,86
"DUFAULT, Derek",,40
"WHITING, Benjamin",,50
"STATZ, Nick",,8
"LARSEN, Chris",,59
"ROY, Vincent",,53
"LACHANCE, Tariq",,95
"VILLAMIZAR, Mario",,34
"HUTTER, Scott",Montreal Alouettes,43
"NWOYE, Charles",,92
"ANTWI, Jeshrun",Calgary Stampeders,20
"SPAZIANI, Joe",,52
"LEE, Malcom",,22
"LEWIS, Wesley",,85
"DABIRE, Charbel",Saskatchewan Roughriders,99
"RICHARDS, Malik",,19
"HARKE, Jonathan",,54
"MACHIBRODA, Evan",,54
"ROSS, Shai",,80
"SANELLI, Michael",,95
"HARRY, Jamie",,38
"GUTHRIE, Jaylan",,56
"GRANT, Thomas",,99
"JANKE, Jacob",,7
"ELI, Asotui",Winnipeg Blue Bombers,65
"JOHNSON, Hakeem",,18
"CENDER, Peter",,46
"SOPIK, Fraser",Calgary Stampeders,32
"OSEI-KUSI, Chris",,13
"SIMBA, Maurice",,78
"WILLIAMS, Zack",Calgary Stampeders,67
"POLAN, Gabriel",,21
"ROBINSON, Noah",,48
"GRIFFITHS, Connor",,91
"LAWLEY, Sheriden",,55
"GITTENS JR., Kurleigh",Edmonton Elks,19
"IRONS, Maleek",,30
"WILKINSON, Zach",,59
"O'CONNOR, Michael",,11
"THOMASSIN, Samuel",,63
"BOATENG, Matthew",,28
"DESJARDINS, Vincent",,91
"ANDERSON, Nathan",,90
"LENIUS, Brayden",BC Lions,84
"OLIVEIRA, Brady",Winnipeg Blue Bombers,20
"JULIEN-GRANT, Kaion",Edmonton Elks,11
"SAXELID, Kyle",Calgary Stampeders,69
"UNGERER III, David",Toronto Argonauts,83
"KALINIC, Nikola",,84
